THUMB,INDEX,MIDDLE,HEART,PINKY,X,Y,LETTER,PARAMETER
20.0,608.0,526.0,599.0,597.0,7.0,-78.0,A,mean
68.0,148.0,216.0,160.0,135.0,6.0,5.0,A,std
130.0,447.0,544.0,589.0,529.0,64.0,-9.0,E,mean
145.0,200.0,179.0,172.0,216.0,14.0,7.0,E,std
311.0,127.0,543.0,608.0,582.0,71.0,-13.0,I,mean
185.0,149.0,178.0,168.0,174.0,9.0,7.0,I,std
229.0,530.0,46.0,57.0,65.0,76.0,-9.0,O,mean
191.0,161.0,85.0,110.0,138.0,9.0,7.0,O,std
193.0,101.0,535.0,573.0,13.0,56.0,-23.0,U,mean
218.0,130.0,168.0,184.0,58.0,11.0,11.0,U,std
